Station;Date;Irradiance
WSLLAF;202201032140;0
WSLLAF;202201032150;0
WSLLAF;202201032200;0
WSLLAF;202201032210;0
WSLLAF;202201032220;0
WSLLAF;202201032230;0
WSLLAF;202201032240;0
WSLLAF;202201032250;0
WSLLAF;202201032300;0
WSLLAF;202201032310;0
WSLLAF;202201032320;0
WSLLAF;202201032330;0
WSLLAF;202201032340;0
WSLLAF;202201032350;0
WSLLAF;202201040000;0
WSLLAF;202201040010;0
WSLLAF;202201040020;0
WSLLAF;202201040030;0
WSLLAF;202201040040;0
WSLLAF;202201040050;0
WSLLAF;202201040100;0
WSLLAF;202201040110;0
WSLLAF;202201040120;0
WSLLAF;202201040130;0
WSLLAF;202201040140;0
WSLLAF;202201040150;0
WSLLAF;202201040200;0
WSLLAF;202201040210;0
WSLLAF;202201040220;0
WSLLAF;202201040230;0
WSLLAF;202201040240;0
WSLLAF;202201040250;0
WSLLAF;202201040300;0
WSLLAF;202201040310;0
WSLLAF;202201040320;0
WSLLAF;202201040330;0
WSLLAF;202201040340;0
WSLLAF;202201040350;0
WSLLAF;202201040400;0
WSLLAF;202201040410;0
WSLLAF;202201040420;0
WSLLAF;202201040430;0
WSLLAF;202201040440;0
WSLLAF;202201040450;0
WSLLAF;202201040500;0
WSLLAF;202201040510;0
WSLLAF;202201040520;0
WSLLAF;202201040530;0
WSLLAF;202201040540;0
WSLLAF;202201040550;0
WSLLAF;202201040600;0
WSLLAF;202201040610;0
WSLLAF;202201040620;0
WSLLAF;202201040630;0
WSLLAF;202201040640;0
WSLLAF;202201040650;0
WSLLAF;202201040700;0
WSLLAF;202201040710;0
WSLLAF;202201040720;1
WSLLAF;202201040730;2
WSLLAF;202201040740;3
WSLLAF;202201040750;4
WSLLAF;202201040800;8
WSLLAF;202201040810;14
WSLLAF;202201040820;15
WSLLAF;202201040830;17
WSLLAF;202201040840;22
WSLLAF;202201040850;31
WSLLAF;202201040900;45
WSLLAF;202201040910;63
WSLLAF;202201040920;62
WSLLAF;202201040930;89
WSLLAF;202201040940;117
WSLLAF;202201040950;127
WSLLAF;202201041000;156
WSLLAF;202201041010;182
WSLLAF;202201041020;194
WSLLAF;202201041030;182
WSLLAF;202201041040;185
WSLLAF;202201041050;159
WSLLAF;202201041100;150
WSLLAF;202201041110;213
WSLLAF;202201041120;199
WSLLAF;202201041130;167
WSLLAF;202201041140;168
WSLLAF;202201041150;187
WSLLAF;202201041200;225
WSLLAF;202201041210;238
WSLLAF;202201041220;245
WSLLAF;202201041230;195
WSLLAF;202201041240;129
WSLLAF;202201041250;99
WSLLAF;202201041300;72
WSLLAF;202201041310;54
WSLLAF;202201041320;36
WSLLAF;202201041330;37
WSLLAF;202201041340;34
WSLLAF;202201041350;44
WSLLAF;202201041400;50
WSLLAF;202201041410;55
WSLLAF;202201041420;41
WSLLAF;202201041430;35
WSLLAF;202201041440;32
WSLLAF;202201041450;36
WSLLAF;202201041500;36
WSLLAF;202201041510;10
WSLLAF;202201041520;8
WSLLAF;202201041530;10
WSLLAF;202201041540;5
WSLLAF;202201041550;2
WSLLAF;202201041600;2
WSLLAF;202201041610;2
WSLLAF;202201041620;1
WSLLAF;202201041630;0
WSLLAF;202201041640;0
WSLLAF;202201041650;0
WSLLAF;202201041700;0
WSLLAF;202201041710;0
WSLLAF;202201041720;0
WSLLAF;202201041730;0
WSLLAF;202201041740;0
WSLLAF;202201041750;0
WSLLAF;202201041800;0
WSLLAF;202201041810;0
WSLLAF;202201041820;0
WSLLAF;202201041830;0
WSLLAF;202201041840;0
WSLLAF;202201041850;0
WSLLAF;202201041900;0
WSLLAF;202201041910;0
WSLLAF;202201041920;0
WSLLAF;202201041930;0
WSLLAF;202201041940;0
WSLLAF;202201041950;0
WSLLAF;202201042000;0
WSLLAF;202201042010;0
WSLLAF;202201042020;0
WSLLAF;202201042030;0
WSLLAF;202201042040;0
WSLLAF;202201042050;0
WSLLAF;202201042100;0
WSLLAF;202201042110;0
WSLLAF;202201042120;0
WSLLAF;202201042130;0
WSLLAF;202201042140;0
WSLLAF;202201042150;0
WSLLAF;202201042200;0
WSLLAF;202201042210;0
WSLLAF;202201042220;0
WSLLAF;202201042230;0
WSLLAF;202201042240;0
WSLLAF;202201042250;0
WSLLAF;202201042300;0
WSLLAF;202201042310;0
WSLLAF;202201042320;0
WSLLAF;202201042330;0
WSLLAF;202201042340;0
WSLLAF;202201042350;0
WSLLAF;202201050000;0
WSLLAF;202201050010;0
WSLLAF;202201050020;0
WSLLAF;202201050030;0
WSLLAF;202201050040;0
WSLLAF;202201050050;0
WSLLAF;202201050100;0
WSLLAF;202201050110;0
WSLLAF;202201050120;0
WSLLAF;202201050130;0
WSLLAF;202201050140;0
WSLLAF;202201050150;0
WSLLAF;202201050200;0
WSLLAF;202201050210;0
WSLLAF;202201050220;0
WSLLAF;202201050230;0
WSLLAF;202201050240;0
WSLLAF;202201050250;0
WSLLAF;202201050300;0
WSLLAF;202201050310;0
WSLLAF;202201050320;0
WSLLAF;202201050330;0
WSLLAF;202201050340;0
WSLLAF;202201050350;0
WSLLAF;202201050400;0
WSLLAF;202201050410;0
WSLLAF;202201050420;0
WSLLAF;202201050430;0
WSLLAF;202201050440;0
WSLLAF;202201050450;0
WSLLAF;202201050500;0
WSLLAF;202201050510;0
WSLLAF;202201050520;0
WSLLAF;202201050530;0
WSLLAF;202201050540;0
WSLLAF;202201050550;0
WSLLAF;202201050600;0
WSLLAF;202201050610;0
WSLLAF;202201050620;0
WSLLAF;202201050630;0
WSLLAF;202201050640;0
WSLLAF;202201050650;0
WSLLAF;202201050700;0
WSLLAF;202201050710;0
WSLLAF;202201050720;2
WSLLAF;202201050730;3
WSLLAF;202201050740;3
WSLLAF;202201050750;7
WSLLAF;202201050800;9
WSLLAF;202201050810;11
WSLLAF;202201050820;25
WSLLAF;202201050830;33
WSLLAF;202201050840;73
WSLLAF;202201050850;69
WSLLAF;202201050900;91
WSLLAF;202201050910;78
WSLLAF;202201050920;86
WSLLAF;202201050930;79
WSLLAF;202201050940;60
WSLLAF;202201050950;73
WSLLAF;202201051000;75
WSLLAF;202201051010;73
WSLLAF;202201051020;75
WSLLAF;202201051030;72
WSLLAF;202201051040;71
WSLLAF;202201051050;85
WSLLAF;202201051100;92
WSLLAF;202201051110;100
WSLLAF;202201051120;127
WSLLAF;202201051130;156
WSLLAF;202201051140;171
WSLLAF;202201051150;151
