,time,value
50676,05-Feb-2022 04:36:00,1.7870000000000001
50677,05-Feb-2022 04:37:00,1.7519999999999991
50678,05-Feb-2022 04:38:00,1.6936666666666667
50679,05-Feb-2022 04:39:00,1.6356666666666668
50680,05-Feb-2022 04:40:00,1.4728333333333337
50681,05-Feb-2022 04:41:00,1.2954999999999999
50682,05-Feb-2022 04:42:00,1.3726666666666665
50683,05-Feb-2022 04:43:00,1.4465000000000001
50684,05-Feb-2022 04:44:00,1.406
50685,05-Feb-2022 04:45:00,1.4561666666666668
50686,05-Feb-2022 04:46:00,1.4978333333333331
50687,05-Feb-2022 04:47:00,1.4011666666666673
50688,05-Feb-2022 04:48:00,1.4941666666666673
50689,05-Feb-2022 04:49:00,1.5218333333333336
50690,05-Feb-2022 04:50:00,1.4050000000000002
50691,05-Feb-2022 04:51:00,1.335
50692,05-Feb-2022 04:52:00,1.113
50693,05-Feb-2022 04:53:00,1.1081666666666667
50694,05-Feb-2022 04:54:00,1.301166666666667
50695,05-Feb-2022 04:55:00,1.2673333333333332
50696,05-Feb-2022 04:56:00,1.2731666666666661
50697,05-Feb-2022 04:57:00,1.4104999999999999
50698,05-Feb-2022 04:58:00,1.3801666666666668
50699,05-Feb-2022 04:59:00,1.258
50700,05-Feb-2022 05:00:00,1.2148333333333337
50701,05-Feb-2022 05:01:00,1.2024999999999997
50702,05-Feb-2022 05:02:00,1.2028333333333332
50703,05-Feb-2022 05:03:00,1.3683333333333334
50704,05-Feb-2022 05:04:00,1.247833333333334
50705,05-Feb-2022 05:05:00,1.385
50706,05-Feb-2022 05:06:00,1.2751666666666668
50707,05-Feb-2022 05:07:00,1.2701666666666662
50708,05-Feb-2022 05:08:00,1.222166666666666
50709,05-Feb-2022 05:09:00,1.3178333333333334
50710,05-Feb-2022 05:10:00,1.3883333333333332
50711,05-Feb-2022 05:11:00,1.5133333333333332
50712,05-Feb-2022 05:12:00,1.6324999999999998
50713,05-Feb-2022 05:13:00,1.6808333333333334
50714,05-Feb-2022 05:14:00,1.5339999999999996
50715,05-Feb-2022 05:15:00,1.3071666666666668
50716,05-Feb-2022 05:16:00,1.2414999999999994
50717,05-Feb-2022 05:17:00,1.1848333333333336
50718,05-Feb-2022 05:18:00,1.2951666666666664
50719,05-Feb-2022 05:19:00,1.3383333333333334
50720,05-Feb-2022 05:20:00,1.4426666666666668
50721,05-Feb-2022 05:21:00,1.298166666666667
50722,05-Feb-2022 05:22:00,1.2613333333333332
50723,05-Feb-2022 05:23:00,1.2076666666666667
50724,05-Feb-2022 05:24:00,1.0828333333333335
50725,05-Feb-2022 05:25:00,1.108666666666667
50726,05-Feb-2022 05:26:00,1.088
50727,05-Feb-2022 05:27:00,1.1189999999999998
50728,05-Feb-2022 05:28:00,0.9678333333333331
50729,05-Feb-2022 05:29:00,0.9194999999999999
50730,05-Feb-2022 05:30:00,0.8366666666666672
50731,05-Feb-2022 05:31:00,0.7568333333333332
50732,05-Feb-2022 05:32:00,0.9508333333333333
50733,05-Feb-2022 05:33:00,0.9671666666666664
50734,05-Feb-2022 05:34:00,1.0005
50735,05-Feb-2022 05:35:00,1.1750000000000003
50736,05-Feb-2022 05:36:00,1.0419999999999996
50737,05-Feb-2022 05:37:00,0.9786666666666666
50738,05-Feb-2022 05:38:00,0.9833333333333331
50739,05-Feb-2022 05:39:00,1.0450000000000004
50740,05-Feb-2022 05:40:00,0.9701666666666667
50741,05-Feb-2022 05:41:00,1.0536666666666668
50742,05-Feb-2022 05:42:00,1.1113333333333335
50743,05-Feb-2022 05:43:00,0.9605000000000002
50744,05-Feb-2022 05:44:00,0.8653333333333336
50745,05-Feb-2022 05:45:00,0.7613333333333334
50746,05-Feb-2022 05:46:00,0.7811666666666668
50747,05-Feb-2022 05:47:00,0.776
50748,05-Feb-2022 05:48:00,0.7456666666666669
50749,05-Feb-2022 05:49:00,0.6726666666666667
50750,05-Feb-2022 05:50:00,0.6796666666666666
50751,05-Feb-2022 05:51:00,0.8196666666666665
50752,05-Feb-2022 05:52:00,0.9654999999999998
50753,05-Feb-2022 05:53:00,1.329666666666667
50754,05-Feb-2022 05:54:00,1.7633333333333334
50755,05-Feb-2022 05:55:00,1.8193333333333332
50756,05-Feb-2022 05:56:00,1.6818333333333333
50757,05-Feb-2022 05:57:00,2.0355000000000008
50758,05-Feb-2022 05:58:00,1.9988333333333335
